vgps_id,name,raw_label,canonical_category,strategic_bucket,chain_brand,score,tier,weburl,listing_url
26064,Weddings at Grand Hyatt Indian Wells Resort & Villas,WEDDINGS,Weddings,Meetings & Events,true,0,D,https://www.hyatt.com/en-US/hotel/california/hyatt-regency-indian-wells-resort-and-spa/champ/special-events/weddings,https://www.visitgreaterpalmsprings.com/listing/weddings-at-grand-hyatt-indian-wells-resort-%26-villas/26064/
26125,"Weddings at Renaissance Esmeralda Resort & Spa, Indian Wells",WEDDINGS,Weddings,Meetings & Events,true,0,D,https://www.marriott.com/hotels/event-planning/wedding-planning/pspsr-renaissance-indian-wells-resort-and-spa,https://www.visitgreaterpalmsprings.com/listing/weddings-at-renaissance-esmeralda-resort-%26-spa-indian-wells/26125/
34846,Welwood Murray Memorial Library,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,http://www.palmspringsca.gov/government/departments/library/welwood-murray-memorial-library,https://www.visitgreaterpalmsprings.com/listing/welwood-murray-memorial-library/34846/
33661,West Shores Chamber of Commerce,VISITOR INFORMATION,Visitor Services,Mobility,false,0,D,"https://www.2chambers.com/salton_city,_california.htm",https://www.visitgreaterpalmsprings.com/listing/west-shores-chamber-of-commerce/33661/
7377,Westin Wellness Spa at The Westin Rancho Mirage,"SPAS, BEAUTY & WELLNESS",Spas & Wellness,Wellness,true,0,D,https://www.marriott.com/en-us/hotels/pspwi-the-westin-rancho-mirage-golf-resort-and-spa/overview/,https://www.visitgreaterpalmsprings.com/listing/westin-wellness-spa-at-the-westin-rancho-mirage/7377/
33662,Westmorland Chamber of Commerce,VISITOR INFORMATION,Visitor Services,Mobility,false,0,D,https://www.cityofwestmorland.net/chamber-of-commerce,https://www.visitgreaterpalmsprings.com/listing/westmorland-chamber-of-commerce/33662/
21527,WetBar at Agua Caliente Casino Resort Spa Rancho Mirage,EAT & DRINK,Dining,Dining,false,0,D,https://aguacalientecasinos.com/resort/wet-bar/,https://www.visitgreaterpalmsprings.com/listing/wetbar-at-agua-caliente-casino-resort-spa-rancho-mirage/21527/
45117,Whitewater to Mission Creek Trail,HIKING TRAILS,Outdoor Recreation,Experiences,false,0,D,https://www.wildlandsconservancy.org/preserve_whitewater.html,https://www.visitgreaterpalmsprings.com/listing/whitewater-to-mission-creek-trail/45117/
24534,Windermere Real Estate La Quinta,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.windermere.com/offices/la-quinta,https://www.visitgreaterpalmsprings.com/listing/windermere-real-estate-la-quinta/24534/
24559,Wine Vault of the Desert,SHOPPING,Shopping,Retail & Services,false,0,D,https://www.wvotd.com,https://www.visitgreaterpalmsprings.com/listing/wine-vault-of-the-desert/24559/
37731,Woodhaven Country Club,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.woodhavencc.com/tennisinformation,https://www.visitgreaterpalmsprings.com/listing/woodhaven-country-club/37731/
33461,World Famous Crochet Museum,THINGS TO DO,Activities,Experiences,false,0,D,https://www.sharielf.com/museum.html,https://www.visitgreaterpalmsprings.com/listing/world-famous-crochet-museum/33461/
21271,WorldMark Indio,STAY,Lodging,Lodging,false,0,D,https://www.extraholidays.com/indio-california/worldmark-indio,https://www.visitgreaterpalmsprings.com/listing/worldmark-indio/21271/
16775,WorldMark Palm Springs - Plaza Resort and Spa,STAY,Lodging,Lodging,false,0,D,https://www.extraholidays.com/palm-springs-california/the-plaza-resort-spa?identifier=&utm_source=dmovisitgreaterps&utm_medium=partnership-listings&utm_campaign=Awareness_Evergreen_2026LISTING_EH___&utm_content=__,https://www.visitgreaterpalmsprings.com/listing/worldmark-palm-springs-plaza-resort-and-spa/16775/
25998,WorldMark Palm Springs,STAY,Lodging,Lodging,false,0,D,https://www.extraholidays.com/palm-springs-california/worldmark-palm-springs,https://www.visitgreaterpalmsprings.com/listing/worldmark-palm-springs/25998/
33392,Xin Bowl Asian Bistro,EAT & DRINK,Dining,Dining,false,0,D,https://www.xinbowlca.com/,https://www.visitgreaterpalmsprings.com/listing/xin-bowl-asian-bistro/33392/
9566,Yard House Restaurant,EAT & DRINK,Dining,Dining,false,0,D,https://www.yardhouse.com/CA/rancho-mirage-restaurant,https://www.visitgreaterpalmsprings.com/listing/yard-house-restaurant/9566/
29316,Your Pie,EAT & DRINK,Dining,Dining,false,0,D,https://www.yourpie.com/stores/indio,https://www.visitgreaterpalmsprings.com/listing/your-pie/29316/
28892,Yucca Park,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.indio.org/your_government/community_services/city_parks.htm,https://www.visitgreaterpalmsprings.com/listing/yucca-park/28892/
35960,Zing,SHOPPING,Shopping,Retail & Services,false,0,D,https://zing-ps.com/,https://www.visitgreaterpalmsprings.com/listing/zing/35960/
34671,CannaBus Express Tours,CANNABIS,Cannabis,Retail & Services,false,0,D,https://www.cannabusexpresstours.com/,https://www.visitgreaterpalmsprings.com/listing/cannabus-express-tours/34671/
49622,Canyon Club Hotel,STAY,Lodging,Lodging,false,0,D,https://www.canyonclubhotel.com,https://www.visitgreaterpalmsprings.com/listing/canyon-club-hotel/49622/
35548,Carnitas La Piedad,EAT & DRINK,Dining,Dining,false,0,D,https://ordercarnitaslapiedadrestaurant.com/,https://www.visitgreaterpalmsprings.com/listing/carnitas-la-piedad/35548/
13083,Cascade Lounge at Agua Caliente Casino Palm Springs,EAT & DRINK,Dining,Dining,false,0,D,https://aguacalientecasinos.com/nightlife/cascade-lounge/,https://www.visitgreaterpalmsprings.com/listing/cascade-lounge-at-agua-caliente-casino-palm-springs/13083/
7391,Cathedral City Car Wash,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.cathedralcitycarwash.com,https://www.visitgreaterpalmsprings.com/listing/cathedral-city-car-wash/7391/
35552,Castañeda's Mexican Food,EAT & DRINK,Dining,Dining,false,0,D,https://www.castanedasmexicanfood.com/locations,https://www.visitgreaterpalmsprings.com/listing/casta%c3%b1edas-mexican-food/35552/
29505,Cathedral City Dog Park - Panorama Park,DOG-FRIENDLY RESOURCES,Pet Services,Retail & Services,false,0,D,https://www.cathedralcity.gov/Home/Components/FacilityDirectory/FacilityDirectory/14/1768,https://www.visitgreaterpalmsprings.com/listing/cathedral-city-dog-park-panorama-park/29505/
29320,Celebrity Sitters,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://celebrity-sitters.com/,https://www.visitgreaterpalmsprings.com/listing/celebrity-sitters/29320/
55145,Center Stage Outdoor Entertainment,ARTS & CULTURE,Arts & Culture,Experiences,false,0,D,https://www.indio.org/our-city/second-saturdays,https://www.visitgreaterpalmsprings.com/listing/center-stage-outdoor-entertainment/55145/
29506,Century Park,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.cathedralcity.gov/Home/Components/FacilityDirectory/FacilityDirectory/4/1768,https://www.visitgreaterpalmsprings.com/listing/century-park/29506/
24495,Channel Q 103.1 / Audacy,BUSINESS & PROFESSIONAL SERVICES,Professional Services,Retail & Services,false,0,D,https://wearechannelq.radio.com/,https://www.visitgreaterpalmsprings.com/listing/channel-q-103-1-audacy/24495/
35554,Chef George's Restaurant,EAT & DRINK,Dining,Dining,false,0,D,https://chefgeorgespicasso.com/,https://www.visitgreaterpalmsprings.com/listing/chef-georges-restaurant/35554/
29040,Chelsea Lane,SHOPPING,Shopping,Retail & Services,false,0,D,https://www.chelsealane.com,https://www.visitgreaterpalmsprings.com/listing/chelsea-lane/29040/
60534,Cheers Coffee,EAT & DRINK,Dining,Dining,false,0,D,https://www.yelp.com/biz/cheers-coffee-rancho-mirage,https://www.visitgreaterpalmsprings.com/listing/cheers-coffee/60534/
35555,Chelo's Burgers #3,EAT & DRINK,Dining,Dining,false,0,D,https://www.yelp.com/biz/chelos-burgers-indio,https://www.visitgreaterpalmsprings.com/listing/chelos-burgers-%233/35555/
33232,China Green Garden Restaurant,EAT & DRINK,Dining,Dining,false,0,D,https://www.chinagardenblythe.com/,https://www.visitgreaterpalmsprings.com/listing/china-green-garden-restaurant/33232/
6903,Ciro's Ristorante & Pizzeria,EAT & DRINK,Dining,Dining,false,0,D,https://www.cirosofindio.com/,https://www.visitgreaterpalmsprings.com/listing/ciros-ristorante-%26-pizzeria/6903/
34946,City of Cathedral City Economic Development Department,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.ccedd.org/,https://www.visitgreaterpalmsprings.com/listing/city-of-cathedral-city-economic-development-department/34946/
34948,City of Palm Desert Economic Development Department,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.cityofpalmdesert.org/departments/economic-development,https://www.visitgreaterpalmsprings.com/listing/city-of-palm-desert-economic-development-department/34948/
34949,City of Indian Wells Economic Development Department,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.cityofindianwells.org/city-hall/departments/economic-development-2,https://www.visitgreaterpalmsprings.com/listing/city-of-indian-wells-economic-development-department/34949/
34951,City of Indio Economic Development Department,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.indio.org/your_government/ed/default.htm,https://www.visitgreaterpalmsprings.com/listing/city-of-indio-economic-development-department/34951/
34952,City of Coachella Economic Development Department,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.coachella.org/departments/economic-development-241,https://www.visitgreaterpalmsprings.com/listing/city-of-coachella-economic-development-department/34952/
18819,City of Indian Wells,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.indianwells.com,https://www.visitgreaterpalmsprings.com/listing/city-of-indian-wells/18819/
18832,City of Palm Springs,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.palmspringsca.gov/,https://www.visitgreaterpalmsprings.com/listing/city-of-palm-springs/18832/
18824,City of Indio,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.indio.org,https://www.visitgreaterpalmsprings.com/listing/city-of-indio/18824/
28797,City of Coachella Walking Tour,TOURS,Tours,Experiences,false,0,D,https://www.coachella.org/home/showdocument?id=2995,https://www.visitgreaterpalmsprings.com/listing/city-of-coachella-walking-tour/28797/
33520,Clarion Inn Ridgecrest,PLACES TO STAY,Lodging,Lodging,false,0,D,https://www.clarionhotel.com/hotel-ridgecrest-california-CAD82,https://www.visitgreaterpalmsprings.com/listing/clarion-inn-ridgecrest/33520/
10774,City of Coachella,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.coachella.org,https://www.visitgreaterpalmsprings.com/listing/city-of-coachella/10774/
45066,Coachella Urban Valley Farms,SHOPPING,Shopping,Retail & Services,false,0,D,https://www.coachellaurbanvalleyfarms.com/,https://www.visitgreaterpalmsprings.com/listing/coachella-urban-valley-farms/45066/
28756,Coachella Valley Art Center,ARTS & CULTURE,Arts & Culture,Experiences,false,0,D,https://www.coachellavalleyartcenter.org,https://www.visitgreaterpalmsprings.com/listing/coachella-valley-art-center/28756/
23763,Coachella Valley Enterprise Zone,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://www.cveza.org,https://www.visitgreaterpalmsprings.com/listing/coachella-valley-enterprise-zone/23763/
16655,Comfort Suites Palm Desert,STAY,Lodging,Lodging,false,0,D,https://www.comfortsuites.com/hotel-palm_desert-california-CA619,https://www.visitgreaterpalmsprings.com/listing/comfort-suites-palm-desert/16655/
24778,Computer Gallery,BUSINESS & PROFESSIONAL SERVICES,Professional Services,Retail & Services,false,0,D,https://www.computer-gallery.com,https://www.visitgreaterpalmsprings.com/listing/computer-gallery/24778/
34654,Country Club Cafe,EAT & DRINK,Dining,Dining,false,0,D,https://cccaferm.com/,https://www.visitgreaterpalmsprings.com/listing/country-club-cafe/34654/
33689,CREATE Center for the Arts,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.createcenterforthearts.org/,https://www.visitgreaterpalmsprings.com/listing/create-center-for-the-arts/33689/
25974,Creative Audio Pro,WEDDINGS,Weddings,Meetings & Events,false,0,D,https://www.creativeaudiopro.com,https://www.visitgreaterpalmsprings.com/listing/creative-audio-pro/25974/
18838,County of Riverside Office of Economic Development,RELOCATION & RESOURCES,Relocation,Retail & Services,false,0,D,https://rivcoed.org/,https://www.visitgreaterpalmsprings.com/listing/county-of-riverside-office-of-economic-development/18838/
28879,Cove Oasis,ACTIVITIES & RECREATION,Activities,Experiences,true,0,D,https://www.laquintaca.gov/Home/Components/FacilityDirectory/FacilityDirectory/18/791,https://www.visitgreaterpalmsprings.com/listing/cove-oasis/28879/
29399,Creative Dog Grooming,DOG-FRIENDLY RESOURCES,Pet Services,Retail & Services,false,0,D,https://www.creativedoggroomingpd.com,https://www.visitgreaterpalmsprings.com/listing/creative-dog-grooming/29399/
16624,Coyote Inn,STAY,Lodging,Lodging,false,0,D,https://www.coyoteinn.net,https://www.visitgreaterpalmsprings.com/listing/coyote-inn/16624/
34669,Cups Cafe,EAT & DRINK,Dining,Dining,false,0,D,https://www.cupscafepdgmail.com/,https://www.visitgreaterpalmsprings.com/listing/cups-cafe/34669/
